Точка,"t, мс","p_m, МПа","v_p, м/с","l_p, м"
«0»,2.0304078546937685,30.267808964004416,0.1252,5.548745699642129e-07
«max»,6.399999999999907,383.8883226685094,412.53430729502674,0.5820699629636747
«s»,8.222415207756333,295.7065071809495,715.2866730218832,1.6221925895896012
«e»,8.169795355477271,299.2553206546069,707.8388247281354,1.5847487267928009
«m»,11.569999999999697,88.69189280747393,971.7900296552418,4.532074642610557
