Точка,"t, мс","p_m, МПа","v_p, м/с","l_p, м"
«0»,2.2870548734168654,30.300138499844014,0.1252,6.7432825001747e-07
«max»,6.859999999999888,296.8265306543436,354.4227642584856,0.5480173381604483
«s»,10.765556874333981,160.9460016148505,789.0283439834931,2.872322945663891
«e»,10.658958665565168,164.29420133565938,780.79766774435,2.788650545031277
«m»,12.709999999999651,92.99230626351547,901.6757472494824,4.526147545992158
