	t	p_m	v_p	l_p
0	2.46	30.2764	0.1196	0.0000
p_max	7.19	263.6895	334.6832	0.5464
e	13.38	104.5241	866.0028	4.5338
m	13.38	104.5241	866.0028	4.5338
	t	p_m	v_p	l_p
0	2.18	30.1443	0.0239	0.0000
p_max	6.72	338.3693	388.6503	0.5820
e	9.89	204.8785	809.8450	2.5405
m	12.11	103.1916	962.1867	4.5270
	t	p_m	v_p	l_p
0	2.04	30.2322	0.0240	0.0000
p_max	6.45	394.2089	424.4090	0.6009
e	8.48	290.7238	765.0367	1.8264
m	11.46	100.4799	1005.2751	4.5279
