Точка,"t, мс","p_m, МПа","v_p, м/с","l_p, м"
«0»,1.7703427922827732,30.347916095465635,0.1252,5.464569188303415e-07
«max»,5.709999999999936,432.2483093295879,410.67419191170836,0.51218879409932
«s»,7.217252949317141,340.4652110260989,696.6913738925854,1.3555898066179568
«e»,7.172874389368105,344.4709684325546,689.4174446919651,1.32483279805101
«m»,11.019999999999719,78.48510770245277,991.2709904324454,4.70122265037204
