Точка,"t, мс","p_m, МПа","v_p, м/с","l_p, м"
«0»,1.470337829963793,30.390741638613616,0.1252,5.457098259843252e-07
«max»,5.069999999999962,686.5950097927329,533.8607649320621,0.5589766995677455
«s»,5.262428194053688,678.2854537516986,596.9253855104043,0.6677871397120958
«e»,5.240968746751562,681.5845237043253,589.9325381731054,0.6550508598606904
«m»,9.669999999999774,74.88751608593307,1064.722491867067,4.699941392151101
